,Row ID,Order ID,Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
36627,259014,259014,2019-03-14,2019-03-14,3,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,SE68004,SBI,SE68004,TUBE D'AIR SECONDAIRE AVANT ASSEMBLÉ,1045.03,20,0.0,26
43016,259014,259014,2019-03-14,2019-03-14,3,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01246,SBI,AC01246,REVÊTEMENT DE PORTE EN FONTE PLAQUÉ ARGENT BROSSÉ,1011.38,10,0.0,56
46350,235361,235361,2018-04-24,2018-04-24,3,MFP001,MY FIREPLACE PRODUCTS/MES PRODUITS DE FOYER INC.,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,QUEBEC,G3A 2H3,"250, RUE DE COPENHAGUE",AC02050,SBI,AC02050,ENSEMBLE DU VENTILATEUR À VITESSE VARIABLE (JUSQU'À 100 PCM),1407.9,19,0.0,42
48105,259014,259014,2019-03-14,2019-03-14,3,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,OA10225,SBI,OA10225,ENSEMBLE PIÉDESTAL ET TIROIR À CENDRES AVEC COUVERCLE,1508.36,12,0.0,78
48423,204673,204673,2017-05-12,2017-05-12,1,MFP001,MY FIREPLACE PRODUCTS/MES PRODUITS DE FOYER INC.,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,QUEBEC,G3A 2H3,"250, RUE DE COPENHAGUE",AC02710,SBI,AC02710,SYSTÈME MODULAIRE D'ÉCRAN MURAL CERTIFIÉ,1440.2,10,0.0,80
50384,210674,210674,2017-09-18,2017-09-18,1,AMA500,AMAZON.COM LLC,DETI,US,SEATTLE,,98109,410 TERRY AVENUE NORTH,VOLKI-625,SBI,VOLKI-625,"ENSEMBLE DE GAINE FLEXIBLE INOX VORTEX 6""Ø X 25' POUR ENCASTRABLE",2027.8,9,0.0,102
51750,167906,167906,2016-02-25,2016-02-25,1,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01246,SBI,AC01246,REVÊTEMENT DE PORTE PLAQUÉ ARGENT BROSSÉ,1720.44,20,0.0,54
52672,150498,150498,2015-03-25,2015-03-25,1,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01653,SBI,AC01653,ENSEMBLE DE CONVERSION ZC POUR ECOMAXX CLASSIC INBUILT,1339.39,5,0.0,241
53888,191066,191066,2016-11-22,2016-11-22,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1114.66,1,0.0,313
53889,192603,192603,2016-12-07,2016-12-07,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1096.1,1,0.0,313
53890,194332,194332,2016-12-20,2016-12-20,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1100.39,1,0.0,313
53891,197570,197570,2017-01-24,2017-01-24,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1098.82,1,0.0,313
53892,210244,210244,2017-09-14,2017-09-14,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1004.93,1,0.0,313
53893,210616,210616,2017-09-18,2017-09-18,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1004.77,1,0.0,313
53926,211419,211419,2017-09-25,2017-09-25,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1017.89,1,0.0,313
53927,211569,211569,2017-09-26,2017-09-26,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1017.89,1,0.0,313
53928,211601,211601,2017-09-26,2017-09-26,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1017.89,1,0.0,313
53929,211881,211881,2017-09-29,2017-09-29,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1028.61,1,0.0,313
53930,213920,213920,2017-10-16,2017-10-16,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1029.52,1,0.0,313
53931,214550,214550,2017-10-19,2017-10-19,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1033.48,1,0.0,313
53932,214569,214569,2017-10-20,2017-10-20,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1028.28,1,0.0,313
53933,216190,216190,2017-10-31,2017-10-31,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1059.14,1,0.0,313
53935,221360,221360,2017-12-05,2017-12-05,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1047.17,1,0.0,313
53936,221814,221814,2017-12-11,2017-12-11,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1047.75,1,0.0,313
53937,189457,189457,2016-11-08,2016-11-08,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1105.83,1,0.0,313
53938,195527,195527,2017-01-05,2017-01-05,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1117.38,1,0.0,313
53939,196078,196078,2017-01-10,2017-01-10,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1117.38,1,0.0,313
53940,198318,198318,2017-02-01,2017-02-01,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1081.91,1,0.0,313
53941,213574,213574,2017-10-13,2017-10-13,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1028.12,1,0.0,313
53942,215162,215162,2017-10-25,2017-10-25,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1043.54,1,0.0,313
53943,217346,217346,2017-11-08,2017-11-08,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1048.08,1,0.0,313
53944,217570,217570,2017-11-09,2017-11-09,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1054.52,1,0.0,313
53945,218454,218454,2017-11-15,2017-11-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1050.06,1,0.0,313
53983,135299,135299,2014-10-16,2014-10-16,4,HOM201,HOME DEPOT.CA,DETI,CA,TORONTO,,M3C 4H9,900-1 CONCORDE GATE,CB00005,SBI,CB00005,CW2500 ENCASTRABLE À BOIS,1356.0,2,0.0,315
53985,222367,222367,2017-12-12,2017-12-12,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1060.21,1,0.0,316
54049,228389,228389,2018-01-29,2018-01-29,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1016.57,1,0.0,318
54054,181621,181621,2016-08-15,2016-08-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1086.03,1,0.0,319
54055,182539,182539,2016-09-01,2016-09-01,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1080.75,1,0.0,319
54056,182888,182888,2016-09-08,2016-09-08,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1059.8,1,0.0,319
54057,186087,186087,2016-10-12,2016-10-12,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1095.6,1,0.0,319
54058,229151,229151,2018-02-05,2018-02-05,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1011.45,1,0.0,319
54126,226596,226596,2018-03-21,2018-03-21,3,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01254,SBI,AC01254,REVÊTEMENT DE PORTE EN FONTE PLAQUÉ ARGENT BROSSÉ,1305.48,10,0.0,63
54152,235728,235728,2018-05-02,2018-05-02,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1058.72,1,0.0,327
54154,241670,241670,2018-08-31,2018-08-31,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1070.52,1,0.0,329
54155,241759,241759,2018-09-04,2018-09-04,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1076.38,1,0.0,329
54156,243356,243356,2018-09-17,2018-09-17,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1075.72,1,0.0,329
54157,247707,247707,2018-10-12,2018-10-12,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1074.81,1,0.0,329
54158,247965,247965,2018-10-15,2018-10-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1074.89,1,0.0,329
54159,247968,247968,2018-10-15,2018-10-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1074.89,1,0.0,329
54160,249368,249368,2018-10-22,2018-10-22,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1081.66,1,0.0,329
54161,250508,250508,2018-10-26,2018-10-26,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1078.28,1,0.0,329
54162,252210,252210,2018-11-06,2018-11-06,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1081.0,1,0.0,329
54163,253394,253394,2018-11-13,2018-11-13,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1089.25,1,0.0,329
54164,224685,224685,2018-01-03,2018-01-03,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1049.98,1,0.0,329
54165,226693,226693,2018-01-16,2018-01-16,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1028.12,1,0.0,329
54166,227445,227445,2018-01-22,2018-01-22,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1024.49,1,0.0,329
54167,229223,229223,2018-02-06,2018-02-06,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1024.49,1,0.0,329
54203,230329,230329,2018-02-15,2018-02-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1038.92,1,0.0,329
54204,232016,232016,2018-03-06,2018-03-06,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1062.85,1,0.0,329
54205,234276,234276,2018-04-09,2018-04-09,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1051.71,1,0.0,329
54206,238208,238208,2018-07-03,2018-07-03,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1084.05,1,0.0,329
54207,238401,238401,2018-07-06,2018-07-06,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1084.13,1,0.0,329
54208,239613,239613,2018-08-06,2018-08-06,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1072.09,1,0.0,329
54209,239686,239686,2018-08-07,2018-08-07,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1072.91,1,0.0,329
54210,240158,240158,2018-08-14,2018-08-14,3,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1082.9,1,0.0,329
54211,241577,241577,2018-08-31,2018-08-31,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1065.16,1,0.0,329
54212,245294,245294,2018-09-27,2018-09-27,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1073.99,1,0.0,329
54213,245389,245389,2018-09-28,2018-09-28,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1075.97,1,0.0,329
54214,245867,245867,2018-10-02,2018-10-02,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1065.57,1,0.0,329
54215,246216,246216,2018-10-03,2018-10-03,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1058.39,1,0.0,329
54216,246248,246248,2018-10-03,2018-10-03,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1058.39,1,0.0,329
54217,249774,249774,2018-10-25,2018-10-25,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1080.59,1,0.0,329
54218,249827,249827,2018-10-23,2018-10-23,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1080.59,1,0.0,329
54220,251996,251996,2018-11-05,2018-11-05,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1081.0,1,0.0,329
54313,209811,209811,2017-09-12,2017-09-12,3,MFP001,MY FIREPLACE PRODUCTS/MES PRODUITS DE FOYER INC.,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,QUEBEC,G3A 2H3,"250, RUE DE COPENHAGUE",DB03015,SBI,DB03015,COLUMBIA POÊLE À BOIS,2430.48,4,0.0,332
54606,238011,238011,2018-06-28,2018-06-28,3,WWWUS,WEB US,DETI,CA,,,,,DB03015,SBI,DB03015,COLUMBIA WOOD STOVE,1193.42,1,0.0,344
54811,188648,188648,2016-11-01,2016-11-01,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03025,SBI,DB03025,SAVANNAH POÊLE À BOIS,1064.9,1,0.0,360
54812,190086,190086,2016-11-15,2016-11-15,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03025,SBI,DB03025,SAVANNAH POÊLE À BOIS,1071.1,1,0.0,360
54813,192606,192606,2016-12-07,2016-12-07,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03025,SBI,DB03025,SAVANNAH POÊLE À BOIS,1056.24,1,0.0,360
54925,182887,182887,2016-09-08,2016-09-08,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03025,SBI,DB03025,SAVANNAH POÊLE À BOIS,1021.26,1,0.0,364
54932,213570,213570,2017-10-13,2017-10-13,3,WWWUS,WEB US,DETI,CA,,,,,DB03200,SBI,DB03200,DECO WOOD STOVE,1120.33,1,0.0,365
54935,207054,207054,2017-07-25,2017-07-25,3,WWWUS,WEB US,DETI,CA,,,,,DB03081,SBI,DB03081,CLASSIC WOOD STOVE WITH BLOWER,1252.95,1,0.0,365
54938,254086,254086,2018-11-16,2018-11-16,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1087.93,1,0.0,365
54940,255241,255241,2018-11-27,2018-11-27,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1087.85,1,0.0,365
54941,255447,255447,2018-11-27,2018-11-27,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1091.89,1,0.0,365
54976,256965,256965,2018-12-05,2018-12-05,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1088.84,1,0.0,365
54977,257555,257555,2018-12-10,2018-12-10,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1098.82,1,0.0,365
54979,257629,257629,2018-12-10,2018-12-10,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1098.82,1,0.0,365
54981,262292,262292,2019-01-23,2019-01-23,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1095.35,1,0.0,365
54982,263915,263915,2019-02-04,2019-02-04,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1080.34,1,0.0,365
55265,183023,183023,2016-09-09,2016-09-09,4,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03015K,SBI,DB03015K,COLUMBIA POÊLE À BOIS + ENSEMBLE DE DÉMARRAGE,1330.0,2,0.0,383
55357,268186,268186,2019-03-21,2019-03-21,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1098.08,1,0.0,385
55358,271012,271012,2019-05-13,2019-05-13,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1106.99,1,0.0,385
55359,271649,271649,2019-05-28,2019-05-28,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1108.97,1,0.0,385
55360,271988,271988,2019-06-05,2019-06-05,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1106.66,1,0.0,385
55361,272147,272147,2019-06-10,2019-06-10,1,COS500,COSTCO WHOLESALE.COM,DETI,US,SEATTLE,,98124-1305,P.O. BOX 34305,DB03161,SBI,DB03161,EASTWOOD 1800 POÊLE À BOIS,1095.85,1,0.0,385
